"","SYMBOL","ENTREZID","GENENAME"
"127","GCSHP3","100329109","glycine cleavage system protein H pseudogene 3"
"128","SH3GL1P1","6458","SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 1"
"129","PSMD13","5719","proteasome 26S subunit, non-ATPase 13"
"130","HERC4","26091","HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"131","LEPROTL1","23484","leptin receptor overlapping transcript like 1"
"132","CRISPLD2","83716","cysteine rich secretory protein LCCL domain containing 2"
"133","ZBTB11","27107","zinc finger and BTB domain containing 11"
"134","WDR7","23335","WD repeat domain 7"
"135","PLK4","10733","polo like kinase 4"
"136","PLCG1","5335","phospholipase C gamma 1"
"137","TNC","3371","tenascin C"
"138","FAM120A","23196","family with sequence similarity 120A"
"139","CREB3","10488","cAMP responsive element binding protein 3"
"140","INTS12","57117","integrator complex subunit 12"
"141","FOCAD","54914","focadhesin"
"142","CSE1L","1434","chromosome segregation 1 like"
"143","SLC25A15","10166","solute carrier family 25 member 15"
"144","SLC23A3","151295","solute carrier family 23 member 3"
"145","SYNJ1","8867","synaptojanin 1"
"146","S100A6","6277","S100 calcium binding protein A6"
"147","AMZ2","51321","archaelysin family metallopeptidase 2"
"148","TMED8","283578","transmembrane p24 trafficking protein family member 8"
"149","PAQR5","54852","progestin and adipoQ receptor family member 5"
"150","FARSB","10056","phenylalanyl-tRNA synthetase subunit beta"
"151","GRINA","2907","glutamate ionotropic receptor NMDA type subunit associated protein 1"
"152","UQCR10","29796","ubiquinol-cytochrome c reductase, complex III subunit X"
"153","MB21D2","151963","Mab-21 domain containing 2"
"154","ARHGEF11","9826","Rho guanine nucleotide exchange factor 11"
"155","PLIN5","440503","perilipin 5"
"156","TNFSF13","8741","TNF superfamily member 13"
"157","TMC6","11322","transmembrane channel like 6"
"158","HHLA3","11147","HERV-H LTR-associating 3"
"159","COG8","84342","component of oligomeric golgi complex 8"
"160","MED13","9969","mediator complex subunit 13"
"161","VWF","7450","von Willebrand factor"
"162","SLC9A5","6553","solute carrier family 9 member A5"
"163","ANKRD23","200539","ankyrin repeat domain 23"
"164","PBXIP1","57326","PBX homeobox interacting protein 1"
"165","SH3BP5-AS1","100505696","SH3BP5 antisense RNA 1"
"166","FAM171B","165215","family with sequence similarity 171 member B"
"167","ZNF93","81931","zinc finger protein 93"
"168","MTA1","9112","metastasis associated 1"
"169","H1FX-AS1","339942","H1FX antisense RNA 1"
"170","SPIRE2","84501","spire type actin nucleation factor 2"
"171","DISP1","84976","dispatched RND transporter family member 1"
"172","DNAJC24","120526","DnaJ heat shock protein family (Hsp40) member C24"
"173","TRMT12","55039","tRNA methyltransferase 12 homolog"
"174","CFH","3075","complement factor H"
"175","NSMF","26012","NMDA receptor synaptonuclear signaling and neuronal migration factor"
"176","TRAFD1","10906","TRAF-type zinc finger domain containing 1"
"177","EXOSC5","56915","exosome component 5"
"178","GNB1","2782","G protein subunit beta 1"
"179","RALB","5899","RAS like proto-oncogene B"
"180","ZBED5","58486","zinc finger BED-type containing 5"
"181","FSCN2","25794","fascin actin-bundling protein 2, retinal"
"182","KRT15","3866","keratin 15"
"183","PXN","5829","paxillin"
"184","RASL11A","387496","RAS like family 11 member A"
"185","PHF19","26147","PHD finger protein 19"
"186","ZFYVE9","9372","zinc finger FYVE-type containing 9"
"187","C5orf66-AS1","101927953","C5orf66 antisense RNA 1"
"188","ENTPD3","956","ectonucleoside triphosphate diphosphohydrolase 3"
"189","WHAMM","123720","WASP homolog associated with actin, golgi membranes and microtubules"
"190","FLG-AS1","339400","FLG antisense RNA 1"
"191","CHAD","1101","chondroadherin"
"192","EPM2AIP1","9852","EPM2A interacting protein 1"
"193","TXNL1","9352","thioredoxin like 1"
"194","WASL","8976","WASP like actin nucleation promoting factor"
"195","MLLT10P1","140678","MLLT10 pseudogene 1"
"196","MACROD2","140733","mono-ADP ribosylhydrolase 2"
"197","BDH2","56898","3-hydroxybutyrate dehydrogenase 2"
"198","MTOR","2475","mechanistic target of rapamycin kinase"
"199","UGT1A4","54657","UDP glucuronosyltransferase family 1 member A4"
"200","KCNJ15","3772","potassium voltage-gated channel subfamily J member 15"
"201","OCLM","10896","oculomedin"
"202","FCAMR","83953","Fc fragment of IgA and IgM receptor"
"203","NOL9","79707","nucleolar protein 9"
"204","DSC3","1825","desmocollin 3"
"205","MGAM","8972","maltase-glucoamylase"
"206","PRPF6","24148","pre-mRNA processing factor 6"
"207","POLD2","5425","DNA polymerase delta 2, accessory subunit"
"208","NIPA2","81614","NIPA magnesium transporter 2"
"209","DBN1","1627","drebrin 1"
"210","RNF24","11237","ring finger protein 24"
"211","DBF4","10926","DBF4 zinc finger"
"212","PHKA2","5256","phosphorylase kinase regulatory subunit alpha 2"
"213","AREL1","9870","apoptosis resistant E3 ubiquitin protein ligase 1"
"214","SRGN","5552","serglycin"
"215","LCN12","286256","lipocalin 12"
"216","DTD1","92675","D-aminoacyl-tRNA deacylase 1"
"217","MMP12","4321","matrix metallopeptidase 12"
"218","IDH3B","3420","isocitrate dehydrogenase (NAD(+)) 3 beta"
"219","UCKL1","54963","uridine-cytidine kinase 1 like 1"
"220","PTPRU","10076","protein tyrosine phosphatase receptor type U"
"221","HOXB3","3213","homeobox B3"
"222","KIF14","9928","kinesin family member 14"
"223","FETUB","26998","fetuin B"
"224","AMPD3","272","adenosine monophosphate deaminase 3"
"225","MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"226","HAUS2","55142","HAUS augmin like complex subunit 2"
"227","AMPH","273","amphiphysin"
"228","SON","6651","SON DNA binding protein"
"229","FLYWCH1","84256","FLYWCH-type zinc finger 1"
"230","SMC2","10592","structural maintenance of chromosomes 2"
"231","ANO10","55129","anoctamin 10"
"232","PSMB7","5695","proteasome subunit beta 7"
"233","JAGN1","84522","jagunal homolog 1"
"234","TMEM191B","728229","transmembrane protein 191B"
"235","COPG1","22820","coatomer protein complex subunit gamma 1"
"236","PTPN4","5775","protein tyrosine phosphatase non-receptor type 4"
"237","COL4A1","1282","collagen type IV alpha 1 chain"
"238","CIR1","9541","corepressor interacting with RBPJ, 1"
"239","RIPK3","11035","receptor interacting serine/threonine kinase 3"
"240","ZNF778","197320","zinc finger protein 778"
"241","ILK","3611","integrin linked kinase"
"242","ITGB5","3693","integrin subunit beta 5"
"243","SPATA5L1","79029","spermatogenesis associated 5 like 1"
"244","TMEM178A","130733","transmembrane protein 178A"
"245","MCTP1","79772","multiple C2 and transmembrane domain containing 1"
"246","TIMP3","7078","TIMP metallopeptidase inhibitor 3"
"247","WDR25","79446","WD repeat domain 25"
"248","PHGDH","26227","phosphoglycerate dehydrogenase"
"249","SLC36A1","206358","solute carrier family 36 member 1"
"250","CORO6","84940","coronin 6"
"251","LOC100129203","100129203","uncharacterized LOC100129203"
"252","THUMPD3-AS1","440944","THUMPD3 antisense RNA 1"
"253","GSN-AS1","57000","GSN antisense RNA 1"
"254","PALM3","342979","paralemmin 3"
"255","NADSYN1","55191","NAD synthetase 1"
"256","PHYHIP","9796","phytanoyl-CoA 2-hydroxylase interacting protein"
"257","NOL3","8996","nucleolar protein 3"
"258","KRT16","3868","keratin 16"
"259","FAM189A2","9413","family with sequence similarity 189 member A2"
"260","LRRC63","220416","leucine rich repeat containing 63"
"261","LINC01012","100507173","long intergenic non-protein coding RNA 1012"
"262","ID4","3400","inhibitor of DNA binding 4, HLH protein"
"263","SSR3","6747","signal sequence receptor subunit 3"
"264","LOC389765","389765","kinesin family member 27 pseudogene"
"265","TP53","7157","tumor protein p53"
"266","WFDC2","10406","WAP four-disulfide core domain 2"
"267","CDK12","51755","cyclin dependent kinase 12"
"268","NUP98","4928","nucleoporin 98"
"269","GOPC","57120","golgi associated PDZ and coiled-coil motif containing"
"270","PPME1","51400","protein phosphatase methylesterase 1"
"271","RAB2B","84932","RAB2B, member RAS oncogene family"
"272","RASA1","5921","RAS p21 protein activator 1"
"273","SNX13","23161","sorting nexin 13"
"274","CHST1","8534","carbohydrate sulfotransferase 1"
"275","CHMP2B","25978","charged multivesicular body protein 2B"
"276","DCHS1","8642","dachsous cadherin-related 1"
"277","ZBTB16","7704","zinc finger and BTB domain containing 16"
"278","ZNF586","54807","zinc finger protein 586"
"279","LOC100128361","100128361","uncharacterized LOC100128361"
"280","SNORA37","677819","small nucleolar RNA, H/ACA box 37"
"281","IL17RB","55540","interleukin 17 receptor B"
"282","ABHD2","11057","abhydrolase domain containing 2"
"283","EDA","1896","ectodysplasin A"
"284","NAA10","8260","N(alpha)-acetyltransferase 10, NatA catalytic subunit"
"285","SF3B6","51639","splicing factor 3b subunit 6"
"286","KAT6A","7994","lysine acetyltransferase 6A"
"287","MIEF2","125170","mitochondrial elongation factor 2"
"288","HLA-DPA1","3113","major histocompatibility complex, class II, DP alpha 1"
"289","RSL24D1","51187","ribosomal L24 domain containing 1"
"290","ABCA13","154664","ATP binding cassette subfamily A member 13"
"291","SLC14A1","6563","solute carrier family 14 member 1 (Kidd blood group)"
"292","LUZP2","338645","leucine zipper protein 2"
"293","FBN1","2200","fibrillin 1"
"294","KLHDC8B","200942","kelch domain containing 8B"
"295","ATG7","10533","autophagy related 7"
"296","GLT8D2","83468","glycosyltransferase 8 domain containing 2"
"297","RNASE1","6035","ribonuclease A family member 1, pancreatic"
"298","RAB37","326624","RAB37, member RAS oncogene family"
"299","RAD54L","8438","RAD54 like"
"300","NUDCD1","84955","NudC domain containing 1"
"301","ZNF579","163033","zinc finger protein 579"
"302","SCLY","51540","selenocysteine lyase"
"303","MED12L","116931","mediator complex subunit 12L"
"304","ERAL1","26284","Era like 12S mitochondrial rRNA chaperone 1"
"305","RTN4R","65078","reticulon 4 receptor"
"306","KIAA1328","57536","KIAA1328"
"307","FAM214B","80256","family with sequence similarity 214 member B"
"308","LAGE3","8270","L antigen family member 3"
"309","LOC730183","730183","uncharacterized LOC730183"
"310","SUN2","25777","Sad1 and UNC84 domain containing 2"
"311","PFDN2","5202","prefoldin subunit 2"
"312","NIPAL1","152519","NIPA like domain containing 1"
"313","OTUD6B","51633","OTU domain containing 6B"
"314","LGALS9","3965","galectin 9"
"315","BOD1","91272","biorientation of chromosomes in cell division 1"
"316","UBTF","7343","upstream binding transcription factor"
"317","CTDSP1","58190","CTD small phosphatase 1"
"318","FMNL3","91010","formin like 3"
"319","METTL8","79828","methyltransferase like 8"
"320","CD86","942","CD86 molecule"
"321","DPH5","51611","diphthamide biosynthesis 5"
"322","CCDC3","83643","coiled-coil domain containing 3"
"323","UBALD2","283991","UBA like domain containing 2"
"324","ZNF732","654254","zinc finger protein 732"
"325","RTN4IP1","84816","reticulon 4 interacting protein 1"
"326","SLC25A44","9673","solute carrier family 25 member 44"
"327","MGC12916","84815","uncharacterized protein MGC12916"
"328","FHL2","2274","four and a half LIM domains 2"
"329","SNX25","83891","sorting nexin 25"
"330","TMEM200A","114801","transmembrane protein 200A"
"331","CEP19","84984","centrosomal protein 19"
"332","CCRL2","9034","C-C motif chemokine receptor like 2"
"333","ZNRF3","84133","zinc and ring finger 3"
"334","IPO11","51194","importin 11"
"335","CNOT6","57472","CCR4-NOT transcription complex subunit 6"
"336","PLA2G4E","123745","phospholipase A2 group IVE"
"337","PYROXD1","79912","pyridine nucleotide-disulphide oxidoreductase domain 1"
"338","PEX11G","92960","peroxisomal biogenesis factor 11 gamma"
"339","VASH2","79805","vasohibin 2"
"340","ERICH2","285141","glutamate rich 2"
"341","DEPDC7","91614","DEP domain containing 7"
"342","TENM3","55714","teneurin transmembrane protein 3"
"343","ZNF782","158431","zinc finger protein 782"
"344","COPS5","10987","COP9 signalosome subunit 5"
"345","RAB12","201475","RAB12, member RAS oncogene family"
"346","CPXM2","119587","carboxypeptidase X, M14 family member 2"
"347","ANAPC5","51433","anaphase promoting complex subunit 5"
"348","SLC43A1","8501","solute carrier family 43 member 1"
"349","TBC1D16","125058","TBC1 domain family member 16"
"350","ARFGAP2","84364","ADP ribosylation factor GTPase activating protein 2"
"351","CD200R1","131450","CD200 receptor 1"
"352","PCDHB6","56130","protocadherin beta 6"
"353","TMEM62","80021","transmembrane protein 62"
"354","CCNT2-AS1","100129961","CCNT2 antisense RNA 1"
"355","TRIP6","7205","thyroid hormone receptor interactor 6"
"356","TAS2R31","259290","taste 2 receptor member 31"
"357","SPICE1","152185","spindle and centriole associated protein 1"
"358","RHOG","391","ras homolog family member G"
"359","ADIRF","10974","adipogenesis regulatory factor"
"360","LCLAT1","253558","lysocardiolipin acyltransferase 1"
"361","ELP2","55250","elongator acetyltransferase complex subunit 2"
"362","FTO-IT1","100505692","FTO intronic transcript 1"
"363","TAPBP","6892","TAP binding protein"
"364","TOR1AIP1","26092","torsin 1A interacting protein 1"
"365","NTNG2","84628","netrin G2"
"366","IRS1","3667","insulin receptor substrate 1"
"367","ZFAND2A","90637","zinc finger AN1-type containing 2A"
"368","MTRF1L","54516","mitochondrial translational release factor 1 like"
"369","TMEM143","55260","transmembrane protein 143"
"370","MPZL2","10205","myelin protein zero like 2"
"371","RNF165","494470","ring finger protein 165"
"372","NFASC","23114","neurofascin"
"373","TPTEP1","387590","TPTE pseudogene 1"
"374","LOXL1-AS1","100287616","LOXL1 antisense RNA 1"
"375","SERINC5","256987","serine incorporator 5"
"376","B2M","567","beta-2-microglobulin"
"377","BCLAF1","9774","BCL2 associated transcription factor 1"
"378","PRSS54","221191","serine protease 54"
"379","UCA1","652995","urothelial cancer associated 1"
"380","SZT2","23334","SZT2 subunit of KICSTOR complex"
"381","ISCA2","122961","iron-sulfur cluster assembly 2"
"382","ACVR1B","91","activin A receptor type 1B"
"383","IFT122","55764","intraflagellar transport 122"
"384","MIA","8190","MIA SH3 domain containing"
"385","DENND5A","23258","DENN domain containing 5A"
"386","KIT","3815","KIT proto-oncogene, receptor tyrosine kinase"
"387","HKDC1","80201","hexokinase domain containing 1"
"388","ECI1","1632","enoyl-CoA delta isomerase 1"
"389","PITX1","5307","paired like homeodomain 1"
"390","PPP5C","5536","protein phosphatase 5 catalytic subunit"
"391","NARS2","79731","asparaginyl-tRNA synthetase 2, mitochondrial"
"392","RIMS1","22999","regulating synaptic membrane exocytosis 1"
"393","TP73-AS1","57212","TP73 antisense RNA 1"
"394","USP31","57478","ubiquitin specific peptidase 31"
"395","SLFN13","146857","schlafen family member 13"
"396","SRR","63826","serine racemase"
"397","SBF1","6305","SET binding factor 1"
"398","BAP1","8314","BRCA1 associated protein 1"
"399","DNAJC14","85406","DnaJ heat shock protein family (Hsp40) member C14"
"400","GDPD5","81544","glycerophosphodiester phosphodiesterase domain containing 5"
"401","MBNL1","4154","muscleblind like splicing regulator 1"
"402","BTBD6","90135","BTB domain containing 6"
"403","SMG7-AS1","284649","SMG7 antisense RNA 1"
"404","POLH","5429","DNA polymerase eta"
"405","WDR37","22884","WD repeat domain 37"
"406","ELL3","80237","elongation factor for RNA polymerase II 3"
"407","ZFHX4","79776","zinc finger homeobox 4"
"408","AMIGO1","57463","adhesion molecule with Ig like domain 1"
"409","U2AF2","11338","U2 small nuclear RNA auxiliary factor 2"
"410","MYLK3","91807","myosin light chain kinase 3"
"411","LAMA5","3911","laminin subunit alpha 5"
"412","TRAPPC2","6399","trafficking protein particle complex 2"
"413","HERC2P3","283755","hect domain and RLD 2 pseudogene 3"
"414","REPIN1","29803","replication initiator 1"
"415","ZNF81","347344","zinc finger protein 81"
"416","PCDHGA12","26025","protocadherin gamma subfamily A, 12"
"417","ZNF326","284695","zinc finger protein 326"
"418","MBD5","55777","methyl-CpG binding domain protein 5"
"419","MIR200C","406985","microRNA 200c"
"420","EPN1","29924","epsin 1"
"421","TCTEX1D2","255758","Tctex1 domain containing 2"
"422","NUDT13","25961","nudix hydrolase 13"
"423","ANGPTL2","23452","angiopoietin like 2"
"424","CCNG1","900","cyclin G1"
"425","PI4K2A","55361","phosphatidylinositol 4-kinase type 2 alpha"
"426","BTBD16","118663","BTB domain containing 16"
"427","NFE2","4778","nuclear factor, erythroid 2"
"428","WASH7P","653635","WASP family homolog 7, pseudogene"
"429","NPDC1","56654","neural proliferation, differentiation and control 1"
"430","NAGA","4668","alpha-N-acetylgalactosaminidase"
"431","RFX3","5991","regulatory factor X3"
"432","RPS19","6223","ribosomal protein S19"
"433","UBN1","29855","ubinuclein 1"
"434","RBBP4","5928","RB binding protein 4, chromatin remodeling factor"
"435","CDYL2","124359","chromodomain Y like 2"
"436","KREMEN2","79412","kringle containing transmembrane protein 2"
"437","TMEM185A","84548","transmembrane protein 185A"
"438","SEH1L","81929","SEH1 like nucleoporin"
"439","S100A13","6284","S100 calcium binding protein A13"
"440","GRB14","2888","growth factor receptor bound protein 14"
"441","GTF2E2","2961","general transcription factor IIE subunit 2"
"442","NDC80","10403","NDC80 kinetochore complex component"
"443","MMP15","4324","matrix metallopeptidase 15"
"444","RNF146","81847","ring finger protein 146"
"445","ENTPD8","377841","ectonucleoside triphosphate diphosphohydrolase 8"
"446","PUM1","9698","pumilio RNA binding family member 1"
"447","ATP11C","286410","ATPase phospholipid transporting 11C"
"448","NOS2","4843","nitric oxide synthase 2"
"449","TARS2","80222","threonyl-tRNA synthetase 2, mitochondrial"
"450","RBM42","79171","RNA binding motif protein 42"
"451","BICD2","23299","BICD cargo adaptor 2"
"452","RHOT1","55288","ras homolog family member T1"
"453","NPB","256933","neuropeptide B"
"454","COL17A1","1308","collagen type XVII alpha 1 chain"
"455","LINC00665","100506930","long intergenic non-protein coding RNA 665"
"456","METTL7B","196410","methyltransferase like 7B"
"457","ATP11B","23200","ATPase phospholipid transporting 11B (putative)"
"458","STAT5B","6777","signal transducer and activator of transcription 5B"
"459","C16orf71","146562","chromosome 16 open reading frame 71"
"460","CROT","54677","carnitine O-octanoyltransferase"
"461","CAPN5","726","calpain 5"
"462","TMEM86B","255043","transmembrane protein 86B"
"463","TOM1L1","10040","target of myb1 like 1 membrane trafficking protein"
"464","TCEA1","6917","transcription elongation factor A1"
"465","CACNB3","784","calcium voltage-gated channel auxiliary subunit beta 3"
"466","MXD1","4084","MAX dimerization protein 1"
"467","OGFR","11054","opioid growth factor receptor"
"468","POC1A","25886","POC1 centriolar protein A"
"469","FAM49B","51571","family with sequence similarity 49 member B"
"470","RANBP10","57610","RAN binding protein 10"
"471","BMP3","651","bone morphogenetic protein 3"
"472","AGR3","155465","anterior gradient 3, protein disulphide isomerase family member"
"473","PCDHGA9","56107","protocadherin gamma subfamily A, 9"
"474","VLDLR-AS1","401491","VLDLR antisense RNA 1"
"475","N4BP2","55728","NEDD4 binding protein 2"
"476","NID1","4811","nidogen 1"
"477","IRAK4","51135","interleukin 1 receptor associated kinase 4"
"478","MON1B","22879","MON1 homolog B, secretory trafficking associated"
"479","CEP76","79959","centrosomal protein 76"
"480","SNHG20","654434","small nucleolar RNA host gene 20"
"481","MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"482","PTGIS","5740","prostaglandin I2 synthase"
"483","SAMD5","389432","sterile alpha motif domain containing 5"
"484","SNORA54","677833","small nucleolar RNA, H/ACA box 54"
"485","MAMDC4","158056","MAM domain containing 4"
"486","ZBTB9","221504","zinc finger and BTB domain containing 9"
"487","NBPF12","149013","NBPF member 12"
"488","ORC2","4999","origin recognition complex subunit 2"
"489","CACNA1B","774","calcium voltage-gated channel subunit alpha1 B"
"490","SMARCD1","6602","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"
"491","TXLNG","55787","taxilin gamma"
"492","MIR4664","100616318","microRNA 4664"
"493","TGFB2","7042","transforming growth factor beta 2"
"494","ATP6AP2","10159","ATPase H+ transporting accessory protein 2"
"495","BMS1P4","729096","BMS1 pseudogene 4"
"496","PARP10","84875","poly(ADP-ribose) polymerase family member 10"
"497","RNASE4","6038","ribonuclease A family member 4"
"498","SLC16A11","162515","solute carrier family 16 member 11"
"499","SPIN4","139886","spindlin family member 4"
"500","OR2A7","401427","olfactory receptor family 2 subfamily A member 7"
"501","RITA1","84934","RBPJ interacting and tubulin associated 1"
"502","SBNO1","55206","strawberry notch homolog 1"
"503","SRP54","6729","signal recognition particle 54"
"504","ADCK2","90956","aarF domain containing kinase 2"
"505","NCOA6","23054","nuclear receptor coactivator 6"
"506","SEC13","6396","SEC13 homolog, nuclear pore and COPII coat complex component"
"507","PLEKHG6","55200","pleckstrin homology and RhoGEF domain containing G6"
"508","IL2RB","3560","interleukin 2 receptor subunit beta"
"509","PDZK1IP1","10158","PDZK1 interacting protein 1"
"510","EEF1G","1937","eukaryotic translation elongation factor 1 gamma"
"511","FOXD4","2298","forkhead box D4"
"512","RGS20","8601","regulator of G protein signaling 20"
"513","CASD1","64921","CAS1 domain containing 1"
"514","POLR2D","5433","RNA polymerase II subunit D"
"515","CIRBP","1153","cold inducible RNA binding protein"
"516","MRPS31P5","100887750","mitochondrial ribosomal protein S31 pseudogene 5"
"517","LOC729603","729603","calcineurin like EF-hand protein 1 pseudogene"
